word,비교A,비교B
하수처리법,1,1
하이테크 공해,1,1
플라스틱,1,1
피렌,1,1
프레온가스,1,1
합성세제,1,1
항공소음,1,1
할로겐,1,1
플라스틱제품,1,1
해양의 석유오염,1,1
해양보호법률과 조약,1,1
해양배출,1,1
핵 재처리,1,1
해양생태계,1,1
해양오염,1,1
핵사찰,1,1
해수오염,1,1
핵폐기물,1,1
핵융합,1,1
핵무기,1,1
해면상승,1,1
해양의 탄산가스 흡수,1,1
해양대순환,1,1
핵확산금지조약,1,1
핵연료 재처리,1,1
핵발전소·원자력발전소,1,1
핵에너지·원자력,1,1
핵 산업,1,1
해양상 소각,1,1
해저 자원,1,1
해저 석유,1,1
헥사클로로에탄,1,1
화석연료 매장량,1,1
화학적 산소요구량(COD),1,1
환경경영체제,1,1
형광표백제,1,1
호기성 세균,1,1
환경관리공단,1,1
호소,1,1
화학병기,1,1
화력발전,1,1
혐오시설,1,1
화전,1,1
화학에너지,1,1
호기성 분해,1,1
헤드로,1,1
화학조미료,1,1
환경경영체제 심사·EMS심사,1,1
혐기성 세균,1,1
환경개선부담금제도,1,1
화석연료,1,1
화학비료,1,1
활성오니법,1,1
환경외교,1,1
흡음,1,1
환경세,1,1
환경제국주의,1,1
활성탄,1,1
환경권,1,1
휴식년제,1,1
환경교육,1,1
환경배려 가이드라인,1,1
황사,1,1
흡착,1,1
환경용적,1,1
환경마크제도,1,1
환경자원론,1,1
환경정보 전산망,1,1
환금작물,1,1
환경기초시설,1,1
환경교환,1,1
환경시장,1,1
환경영향평가,1,1
